id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,trip_duration,pickup_neighborhood,dropoff_neighborhood
0,2,2016-01-01 00:00:19,2016-01-01 00:06:31,3,1.32,-73.9612579346,40.7961997986,-73.950050354,40.787311554,2,372.0,AH,C
1,2,2016-01-01 00:01:45,2016-01-01 00:27:38,1,13.7,-73.9561691284,40.7077560425,-73.9399490356,40.8395576477,1,1553.0,Z,S
2,1,2016-01-01 00:01:47,2016-01-01 00:21:51,2,5.3,-73.9931030273,40.7526321411,-73.9539031982,40.8165397644,2,1204.0,D,AL
3,2,2016-01-01 00:01:48,2016-01-01 00:16:06,1,7.19,-73.9830093384,40.7314186096,-73.9309692383,40.8084602356,2,858.0,AT,J
4,1,2016-01-01 00:02:49,2016-01-01 00:20:45,2,2.9,-74.0046310425,40.7472343445,-73.9763946533,40.7772369385,1,1076.0,AG,AV
5,2,2016-01-01 00:03:21,2016-01-01 00:12:18,1,2.76,-73.9569473267,40.7663803101,-73.9430084229,40.7968215942,1,537.0,K,J
6,1,2016-01-01 00:04:20,2016-01-01 00:13:16,4,1.0,-73.9891204834,40.7380447388,-73.9916381836,40.7489929199,1,536.0,R,D
7,1,2016-01-01 00:05:06,2016-01-01 00:32:46,1,10.6,-73.9727554321,40.7641983032,-73.8349533081,40.6923561096,1,1660.0,A,T
8,2,2016-01-01 00:05:06,2016-01-01 00:12:27,3,2.32,-73.9629974365,40.7658081055,-73.9677581787,40.7903900146,2,441.0,AK,U
9,2,2016-01-01 00:05:15,2016-01-01 00:08:27,1,0.73,-73.9738235474,40.792049408,-73.9779129028,40.7837600708,2,192.0,U,I
10,1,2016-01-01 00:05:19,2016-01-01 00:17:15,1,1.3,-73.986289978,40.7303657532,-73.982711792,40.7452278137,1,716.0,AT,AO
11,2,2016-01-01 00:05:38,2016-01-01 00:13:16,1,1.1,-73.999382019,40.7300109863,-73.9882583618,40.7233695984,1,458.0,AB,AC
12,2,2016-01-01 00:05:49,2016-01-01 00:23:34,1,2.8,-74.0091400146,40.7394599915,-73.9795074463,40.7243499756,1,1065.0,Q,AT
13,1,2016-01-01 00:05:49,2016-01-01 00:16:03,1,1.1,-73.9909744263,40.736328125,-73.9815673828,40.741065979,1,614.0,R,Y
14,1,2016-01-01 00:05:51,2016-01-01 00:20:22,1,12.1,-73.7833023071,40.6486663818,-73.8733978271,40.7742080688,2,871.0,G,F
15,1,2016-01-01 00:05:52,2016-01-01 00:28:40,1,6.9,-73.9932861328,40.7412338257,-73.9338760376,40.7056083679,1,1368.0,AP,E
16,2,2016-01-01 00:05:56,2016-01-01 00:14:30,1,1.31,-73.9882278442,40.7385215759,-74.0007553101,40.7297325134,1,514.0,R,AB
17,2,2016-01-01 00:06:04,2016-01-01 00:15:52,1,1.86,-73.9695663452,40.7887649536,-73.9570846558,40.7706832886,1,588.0,U,K
18,1,2016-01-01 00:06:16,2016-01-01 00:25:03,2,4.6,-74.0058364868,40.7400054932,-73.953338623,40.7699012756,1,1127.0,Q,K
19,1,2016-01-01 00:06:26,2016-01-01 00:14:38,2,2.2,-73.9621200562,40.6689987183,-73.9890136719,40.6884117126,2,492.0,AW,AS
20,2,2016-01-01 00:06:43,2016-01-01 00:26:39,1,4.5,-73.9844589233,40.7367286682,-73.9740066528,40.6895103455,2,1196.0,R,V
21,2,2016-01-01 00:06:43,2016-01-01 00:11:33,1,1.34,-73.9577713013,40.7614822388,-73.951499939,40.7768783569,2,290.0,K,AM
22,1,2016-01-01 00:06:56,2016-01-01 00:31:22,3,5.2,-73.9804916382,40.7425079346,-73.9440765381,40.711605072,2,1466.0,Y,Z
23,2,2016-01-01 00:06:59,2016-01-01 00:11:26,1,0.91,-73.9821548462,40.7311630249,-73.9881134033,40.7200012207,2,267.0,AT,AC
24,2,2016-01-01 00:07:01,2016-01-01 00:18:38,1,2.54,-73.9461669922,40.7893409729,-73.9563293457,40.8148002625,2,697.0,C,AL
25,1,2016-01-01 00:07:15,2016-01-01 00:37:42,1,10.4,-73.9689865112,40.7534217834,-73.8542022705,40.6851005554,2,1827.0,N,B
27,1,2016-01-01 00:07:45,2016-01-01 00:21:14,1,2.5,-73.9772033691,40.7926445007,-73.9515228271,40.7718086243,3,809.0,U,AM
28,1,2016-01-01 00:07:46,2016-01-01 00:33:15,1,7.9,-73.9722213745,40.6768302917,-74.0248336792,40.6361618042,2,1529.0,V,M
29,2,2016-01-01 00:08:03,2016-01-01 00:27:31,1,1.47,-73.9729003906,40.7592506409,-73.9914169312,40.7537307739,1,1168.0,A,D
30,2,2016-01-01 00:08:16,2016-01-01 00:22:33,1,2.78,-73.9853515625,40.7177658081,-73.9576339722,40.7177505493,2,857.0,AC,Z
31,2,2016-01-01 00:08:24,2016-01-01 00:19:52,2,3.7,-73.7822494507,40.6447410583,-73.7831420898,40.6682701111,2,688.0,G,G
32,2,2016-01-01 00:08:43,2016-01-01 00:12:06,6,0.73,-73.953918457,40.7788009644,-73.9509811401,40.7867927551,2,203.0,C,C
33,1,2016-01-01 00:08:51,2016-01-01 00:17:07,2,2.4,-73.9798812866,40.7348175049,-73.9643783569,40.7646102905,1,496.0,AT,AK
34,1,2016-01-01 00:09:06,2016-01-01 00:22:06,2,2.1,-73.990562439,40.7444992065,-73.9878540039,40.7224807739,1,780.0,AO,AC
35,1,2016-01-01 00:09:33,2016-01-01 00:10:25,1,0.3,-73.9555664062,40.7723655701,-73.9585494995,40.7686386108,2,52.0,K,K
36,1,2016-01-01 00:09:36,2016-01-01 00:16:23,1,1.3,-73.9994277954,40.7440032959,-73.9794921875,40.7437820435,1,407.0,AP,Y
37,1,2016-01-01 00:09:39,2016-01-01 00:29:24,1,3.6,-73.9807128906,40.729839325,-73.9465637207,40.7087097168,1,1185.0,AT,Z
38,1,2016-01-01 00:09:50,2016-01-01 00:12:56,2,0.7,-73.9604415894,40.766002655,-73.9632110596,40.7575378418,2,186.0,K,N
39,1,2016-01-01 00:10:00,2016-01-01 00:15:28,1,0.8,-73.9918212891,40.7342910767,-73.9929199219,40.7276306152,2,328.0,H,H
40,1,2016-01-01 00:10:01,2016-01-01 00:15:13,1,0.7,-73.9791793823,40.7622413635,-73.9691772461,40.7625236511,1,312.0,A,AK
41,2,2016-01-01 00:10:09,2016-01-01 00:31:49,2,6.83,-73.9771575928,40.7868385315,-73.9909896851,40.7280082703,1,1300.0,I,H
42,1,2016-01-01 00:10:14,2016-01-01 00:35:36,2,4.6,-74.0039291382,40.7528877258,-73.9521408081,40.7774429321,2,1522.0,AG,AM
43,1,2016-01-01 00:10:24,2016-01-01 00:17:13,1,1.7,-73.9624710083,40.7756538391,-73.9636611938,40.7584838867,2,409.0,O,N
44,2,2016-01-01 00:10:37,2016-01-01 00:18:20,5,1.65,-73.9624710083,40.7755622864,-73.9675292969,40.7577323914,1,463.0,O,N
45,2,2016-01-01 00:10:39,2016-01-01 00:17:13,2,0.66,-73.9584960938,40.7798309326,-73.9589309692,40.7749137878,1,394.0,O,O
46,1,2016-01-01 00:10:46,2016-01-01 00:34:38,1,2.7,-74.0016403198,40.719329834,-73.9919052124,40.7542076111,2,1432.0,X,D
47,2,2016-01-01 00:11:02,2016-01-01 00:41:01,5,8.64,-73.9814987183,40.7586288452,-73.9411621094,40.8456382751,2,1799.0,AA,S
48,2,2016-01-01 00:11:04,2016-01-01 00:16:20,1,0.69,-73.9896316528,40.7471694946,-73.9896316528,40.7471694946,1,316.0,D,D
49,2,2016-01-01 00:11:13,2016-01-01 00:21:31,2,1.26,-73.9869918823,40.766242981,-74.0028457642,40.7604484558,2,618.0,AR,P
50,1,2016-01-01 00:11:21,2016-01-01 00:44:37,1,3.1,-74.0047607422,40.7423782349,-73.9725341797,40.7647895813,2,1996.0,Q,A
51,2,2016-01-01 00:11:43,2016-01-01 00:16:31,1,0.44,-74.0012817383,40.7346420288,-73.9958648682,40.7385787964,1,288.0,AB,AP
52,2,2016-01-01 00:12:14,2016-01-01 00:17:35,1,1.78,-73.9611053467,40.7119865417,-73.9869842529,40.7182998657,1,321.0,Z,AC
53,1,2016-01-01 00:12:57,2016-01-01 00:19:52,1,1.0,-74.0063858032,40.7332725525,-74.0040283203,40.7206420898,1,415.0,AB,X
54,1,2016-01-01 00:13:04,2016-01-01 00:27:02,2,2.0,-73.9828567505,40.769153595,-73.9729385376,40.7644577026,2,838.0,AR,A
55,2,2016-01-01 00:13:10,2016-01-01 00:23:01,4,1.72,-73.9799118042,40.7461509705,-73.9992370605,40.7340583801,1,591.0,Y,AB
56,2,2016-01-01 00:13:20,2016-01-01 00:18:16,1,0.88,-73.9804229736,40.7455863953,-73.9876174927,40.7356529236,1,296.0,Y,R
57,1,2016-01-01 00:13:26,2016-01-01 00:58:57,1,5.6,-73.958366394,40.8105583191,-73.989402771,40.7432975769,1,2731.0,AH,R
58,1,2016-01-01 00:13:42,2016-01-01 00:41:17,1,5.4,-73.9673233032,40.7525939941,-74.0167388916,40.7102088928,1,1655.0,N,AU
59,2,2016-01-01 00:13:43,2016-01-01 00:37:08,5,2.89,-74.0063018799,40.7335205078,-73.9781265259,40.7542915344,1,1405.0,AB,AD
60,1,2016-01-01 00:13:45,2016-01-01 00:33:15,1,3.6,-73.9864654541,40.7425270081,-73.9710006714,40.7834625244,1,1170.0,R,I
61,1,2016-01-01 00:13:50,2016-01-01 00:19:46,1,1.2,-73.9879455566,40.7793693542,-73.9842910767,40.7672386169,2,356.0,AV,AR
62,2,2016-01-01 00:14:09,2016-01-01 00:18:12,2,0.85,-73.9735183716,40.795375824,-73.9643859863,40.8022766113,1,243.0,U,AH
63,2,2016-01-01 00:14:30,2016-01-01 00:16:38,6,0.48,-73.980682373,40.7800102234,-73.9760437012,40.7862892151,2,128.0,AV,I
64,1,2016-01-01 00:14:31,2016-01-01 00:33:56,1,2.9,-73.9804763794,40.7542724609,-74.0049819946,40.7214813232,2,1165.0,AD,X
65,2,2016-01-01 00:14:32,2016-01-01 00:28:57,5,4.82,-73.9729614258,40.7647018433,-73.9153518677,40.776058197,1,865.0,A,W
66,1,2016-01-01 00:14:33,2016-01-01 00:21:42,2,0.9,-73.9756088257,40.7604446411,-73.9772186279,40.7503051758,1,429.0,A,AD
67,1,2016-01-01 00:14:40,2016-01-01 00:23:51,1,3.5,-73.9697570801,40.7994499207,-73.9976043701,40.7637519836,2,551.0,U,P
68,1,2016-01-01 00:14:40,2016-01-01 00:25:16,1,2.1,-73.9970932007,40.7314224243,-74.011390686,40.7078590393,1,636.0,H,AU
69,1,2016-01-01 00:14:44,2016-01-01 00:28:30,1,5.0,-73.9528045654,40.7803153992,-73.9404067993,40.8283843994,2,826.0,C,S
70,2,2016-01-01 00:14:46,2016-01-01 00:46:24,1,15.78,-73.9780654907,40.7546768188,-73.8089370728,40.7865371704,1,1898.0,AD,AQ
71,2,2016-01-01 00:15:03,2016-01-01 00:28:27,1,1.83,-73.9773788452,40.7588386536,-73.983581543,40.7384414673,2,804.0,A,R
72,1,2016-01-01 00:15:05,2016-01-01 00:18:12,1,1.0,-73.9627227783,40.7580184937,-73.9738006592,40.7477874756,1,187.0,N,AD
73,1,2016-01-01 00:15:09,2016-01-01 00:25:43,1,6.6,-73.8743972778,40.7740821838,-73.8430328369,40.712638855,2,634.0,F,B
74,1,2016-01-01 00:15:17,2016-01-01 00:29:02,2,4.2,-73.9571151733,40.7732315063,-73.9549179077,40.7316169739,2,825.0,O,Z
75,2,2016-01-01 00:15:29,2016-01-01 00:46:43,5,6.61,-74.0023193359,40.7501487732,-73.9404220581,40.6986083984,1,1874.0,AG,E
76,2,2016-01-01 00:16:05,2016-01-01 00:25:59,1,1.76,-73.9783782959,40.6707000732,-73.9914016724,40.6852684021,2,594.0,V,AS
78,2,2016-01-01 00:16:09,2016-01-01 00:38:20,5,3.09,-73.9709625244,40.7550163269,-74.006477356,40.7431755066,2,1331.0,N,Q
79,2,2016-01-01 00:16:19,2016-01-01 00:32:42,1,4.2,-73.9833526611,40.7711601257,-73.9524612427,40.7780914307,2,983.0,AR,AM
80,1,2016-01-01 00:16:28,2016-01-01 00:22:16,4,0.7,-73.9836959839,40.7257423401,-73.9850311279,40.7304801941,2,348.0,AT,AT
81,2,2016-01-01 00:16:29,2016-01-01 00:47:38,1,4.84,-74.0019226074,40.7302932739,-73.9540634155,40.7755355835,2,1869.0,AB,AM
82,2,2016-01-01 00:16:32,2016-01-01 00:47:08,1,11.27,-73.9870605469,40.7660903931,-73.8705062866,40.7627983093,2,1836.0,AR,F
83,2,2016-01-01 00:16:40,2016-01-01 00:28:23,1,4.28,-73.9543457031,40.7641601562,-73.9053192139,40.7504081726,2,703.0,K,L
84,1,2016-01-01 00:16:51,2016-01-01 00:24:01,1,0.8,-73.9905090332,40.7417564392,-73.9853134155,40.7476921082,1,430.0,R,AO
85,2,2016-01-01 00:17:07,2016-01-01 00:26:55,1,0.38,-73.986541748,40.7673187256,-73.9900665283,40.7631187439,1,588.0,AR,P
86,2,2016-01-01 00:17:07,2016-01-01 00:38:20,1,5.44,-73.9818267822,40.7836685181,-74.0033493042,40.7229690552,1,1273.0,I,X
87,2,2016-01-01 00:17:11,2016-01-01 00:22:28,1,0.58,-73.9884185791,40.7317199707,-73.9968338013,40.7320899963,1,317.0,H,H
88,1,2016-01-01 00:17:12,2016-01-01 00:20:27,1,1.0,-73.9539413452,40.7786521912,-73.9691467285,40.7852745056,2,195.0,C,I
89,1,2016-01-01 00:17:35,2016-01-01 00:27:32,1,0.6,-73.9777145386,40.7579193115,-73.9764022827,40.7653503418,2,597.0,A,A
90,2,2016-01-01 00:17:44,2016-01-01 00:27:32,4,2.91,-73.9730300903,40.7644615173,-73.9299316406,40.7563476562,2,588.0,A,W
91,2,2016-01-01 00:17:48,2016-01-01 00:21:45,5,0.67,-74.0024795532,40.7499656677,-73.9965057373,40.7583351135,1,237.0,AG,P
92,2,2016-01-01 00:17:53,2016-01-01 00:25:41,1,0.43,-73.98828125,40.7281036377,-73.9874801636,40.7328987122,2,468.0,H,H
